timestamp,intention,u_id
1.44139e+12,B,82
1.44139e+12,B,82
1.44142e+12,A,82
1.44072e+12,C,8
1.44074e+12,B,8
1.44074e+12,D,8
1.44074e+12,D,8
1.44074e+12,D,8
1.44127e+12,B,8
1.44192e+12,B,8
1.44194e+12,C,8
1.44194e+12,D,8
1.44194e+12,D,8
1.44194e+12,D,8
1.44263e+12,B,8
1.44263e+12,D,8
1.44495e+12,B,8
1.44495e+12,D,8
1.44502e+12,C,8
1.44502e+12,C,8
1.44502e+12,D,8
1.44502e+12,C,8
1.44801e+12,C,8
1.44801e+12,D,8
1.44801e+12,D,8
1.44133e+12,B,26
1.44133e+12,D,26
1.44138e+12,A,26
1.44138e+12,D,26
1.44138e+12,D,26
1.44138e+12,D,26
1.44138e+12,D,26
1.4426e+12,A,26
1.44261e+12,D,26
1.44261e+12,A,26
1.44262e+12,A,26
1.44262e+12,A,26
1.44262e+12,D,26
1.44262e+12,B,26
1.44176e+12,B,18
1.44262e+12,B,18
1.44262e+12,B,18
1.44262e+12,B,18
1.44262e+12,D,18
1.44263e+12,C,18
1.44263e+12,B,18
1.44264e+12,B,18
1.44264e+12,D,18
1.44075e+12,C,65
1.44495e+12,B,43
1.44237e+12,A,20
1.44237e+12,D,20
1.44237e+12,D,20
1.44607e+12,B,20
1.44607e+12,D,20
1.44607e+12,D,20
1.44607e+12,D,20
1.44616e+12,B,20
1.44616e+12,D,20
1.44624e+12,A,20
1.44624e+12,D,20
1.44651e+12,A,20
1.44651e+12,D,20
1.4467e+12,D,20
1.4467e+12,D,20
1.4467e+12,D,20
1.4467e+12,D,20
1.4472e+12,D,20
1.4472e+12,D,20
1.4472e+12,D,20
1.44263e+12,B,19
1.44263e+12,D,19
1.44263e+12,B,19
1.44263e+12,B,19
1.44263e+12,D,19
1.44263e+12,B,19
1.44263e+12,B,19
1.44401e+12,B,19
1.44401e+12,B,19
1.44401e+12,D,19
1.44401e+12,B,19
1.44402e+12,B,19
1.44412e+12,A,19
1.44495e+12,A,19
1.44495e+12,A,19
1.44737e+12,B,19
1.44075e+12,A,80
1.44077e+12,B,80
1.44077e+12,B,80
1.44077e+12,D,80
1.44077e+12,D,80
1.44077e+12,D,80
1.44077e+12,D,80
1.44077e+12,D,80
1.44078e+12,B,80
1.44078e+12,D,80
1.44126e+12,B,80
1.44126e+12,D,80
1.44126e+12,D,80
1.44126e+12,D,80
1.44126e+12,D,80
1.44243e+12,B,80
1.44243e+12,D,80
1.44495e+12,B,80
1.44495e+12,D,80
1.44495e+12,D,80
1.44495e+12,B,80
1.44495e+12,D,80
1.44073e+12,B,41
1.44107e+12,B,41
1.44108e+12,D,41
1.44139e+12,A,41
1.44139e+12,B,41
1.44139e+12,D,41
1.4414e+12,B,41
1.44237e+12,B,41
1.44291e+12,B,41
1.44291e+12,D,41
1.44291e+12,D,41
1.44291e+12,B,41
1.44291e+12,B,41
1.44495e+12,B,41
1.44495e+12,D,41
1.44495e+12,D,41
1.44495e+12,D,41
1.44495e+12,D,41
1.44495e+12,D,41
1.44495e+12,A,18
1.44495e+12,A,18
1.44495e+12,A,18
1.44495e+12,D,18
1.44495e+12,C,18
1.44055e+12,C,67
1.44409e+12,C,67
1.44484e+12,B,67
1.44484e+12,D,67
1.44484e+12,D,67
1.44484e+12,D,67
1.44484e+12,D,67
1.44487e+12,B,67
1.44495e+12,A,67
1.44495e+12,A,67
1.44495e+12,B,67
1.44495e+12,D,67
1.44495e+12,C,67
1.44496e+12,C,67
1.44496e+12,C,67
1.44072e+12,A,64
1.44073e+12,A,64
1.44073e+12,A,64
1.44073e+12,D,64
1.44073e+12,D,64
1.44495e+12,B,64
1.44495e+12,A,64
1.44495e+12,D,64
1.44496e+12,A,64
1.44072e+12,B,52
1.44495e+12,B,52
1.44495e+12,D,52
1.44495e+12,D,52
1.44495e+12,D,52
1.44514e+12,B,52
1.44514e+12,B,52
1.44514e+12,B,52
1.44729e+12,B,52
1.44057e+12,B,74
1.44057e+12,B,74
1.44078e+12,B,74
1.44078e+12,B,74
1.44078e+12,B,74
1.44078e+12,B,74
1.44097e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.441e+12,B,74
1.44109e+12,B,74
1.44135e+12,B,74
1.44135e+12,B,74
1.44135e+12,B,74
1.44135e+12,B,74
1.4414e+12,B,74
1.4414e+12,B,74
1.44221e+12,B,74
1.44221e+12,B,74
1.44221e+12,B,74
1.44221e+12,B,74
1.44221e+12,B,74
1.44255e+12,B,74
1.44255e+12,B,74
1.44256e+12,B,74
1.44256e+12,B,74
1.44256e+12,D,74
1.44256e+12,B,74
1.44256e+12,B,74
1.44256e+12,B,74
1.44279e+12,B,74
1.44279e+12,B,74
1.44279e+12,D,74
1.44279e+12,B,74
1.4441e+12,B,74
1.44413e+12,B,74
1.44487e+12,B,74
1.44487e+12,B,74
1.44487e+12,B,74
1.44488e+12,B,74
1.44495e+12,B,74
1.44495e+12,B,74
1.44495e+12,B,74
1.44549e+12,B,74
1.44562e+12,B,74
1.44632e+12,B,74
1.44632e+12,B,74
1.44632e+12,B,74
1.44644e+12,B,74
1.44644e+12,B,74
1.44645e+12,B,74
1.4468e+12,B,74
1.44712e+12,B,74
1.4474e+12,B,74
1.448e+12,B,74
1.44312e+12,B,1
1.44313e+12,D,1
1.44313e+12,D,1
1.44313e+12,D,1
1.44418e+12,D,1
1.44418e+12,D,1
1.44418e+12,D,1
1.44502e+12,C,1
1.44554e+12,B,1
1.44554e+12,D,1
1.44554e+12,D,1
1.44804e+12,B,1
1.44807e+12,B,1
1.44807e+12,D,1
1.44495e+12,B,57
1.44496e+12,B,57
1.44055e+12,B,73
1.44236e+12,B,73
1.4426e+12,B,73
1.44261e+12,B,73
1.44261e+12,C,73
1.44495e+12,A,73
1.44495e+12,A,73
1.44495e+12,D,73
1.445e+12,B,73
1.445e+12,C,73
1.44595e+12,B,73
1.44132e+12,B,40
1.44504e+12,C,40
1.44504e+12,B,40
1.44504e+12,B,40
1.44553e+12,B,37
1.44553e+12,B,37
1.44553e+12,C,37
1.44677e+12,B,34
1.4478e+12,B,34
1.4478e+12,D,34
1.44072e+12,B,61
1.44306e+12,A,61
1.44306e+12,D,61
1.44306e+12,D,61
1.44307e+12,B,61
1.44307e+12,B,61
1.44312e+12,A,61
1.44316e+12,C,61
1.44316e+12,C,61
1.44321e+12,B,61
1.44348e+12,C,61
1.44359e+12,C,61
1.4446e+12,C,61
1.4446e+12,D,61
1.4446e+12,D,61
1.4446e+12,D,61
1.44495e+12,B,61
1.44496e+12,A,61
1.44496e+12,D,61
1.44495e+12,C,24
1.44495e+12,B,24
1.44495e+12,D,24
1.44495e+12,C,24
1.44495e+12,C,24
1.44495e+12,C,24
1.44495e+12,C,24
1.44495e+12,C,24
1.44495e+12,D,24
1.44495e+12,D,24
1.44495e+12,D,24
1.44495e+12,D,24
1.44495e+12,B,24
1.44495e+12,D,24
1.442e+12,C,44
1.44243e+12,B,44
1.44244e+12,A,44
1.44297e+12,B,44
1.44496e+12,B,44
1.44495e+12,A,42
1.44495e+12,B,42
1.44495e+12,D,42
1.44495e+12,D,42
1.44495e+12,B,42
1.44495e+12,B,42
1.44495e+12,B,42
1.44495e+12,D,42
1.44081e+12,B,25
1.44081e+12,C,25
1.44081e+12,D,25
1.44142e+12,C,25
1.44142e+12,C,25
1.44495e+12,B,81
1.44495e+12,A,81
1.44495e+12,A,81
1.44495e+12,A,81
1.44495e+12,A,81
1.44495e+12,B,81
1.44495e+12,C,81
1.44495e+12,B,81
1.44065e+12,B,9
1.44192e+12,B,9
1.44192e+12,D,9
1.44235e+12,B,9
1.44235e+12,B,9
1.44235e+12,D,9
1.44235e+12,D,9
1.44235e+12,B,9
1.44382e+12,B,9
1.44382e+12,B,9
1.44496e+12,B,9
1.44496e+12,D,9
1.44504e+12,B,9
1.44504e+12,D,9
1.44658e+12,A,9
1.44658e+12,B,9
1.44658e+12,D,9
1.44736e+12,A,9
1.44736e+12,D,9
1.44736e+12,D,9
1.44736e+12,D,9
1.44736e+12,D,9
1.44736e+12,D,9
1.44141e+12,A,47
1.44141e+12,A,47
1.44256e+12,A,47
1.44366e+12,B,47
1.44394e+12,B,47
1.44394e+12,D,47
1.4447e+12,D,47
1.44139e+12,B,11
1.44139e+12,D,11
1.44139e+12,B,11
1.44139e+12,A,11
1.44139e+12,D,11
1.44185e+12,B,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44185e+12,D,11
1.44202e+12,D,11
1.44202e+12,D,11
1.44202e+12,D,11
1.44202e+12,D,11
1.44202e+12,D,11
1.44202e+12,D,11
1.44238e+12,B,11
1.44238e+12,D,11
1.44238e+12,D,11
1.44238e+12,B,11
1.44238e+12,D,11
1.4426e+12,D,11
1.44383e+12,B,11
1.44383e+12,D,11
1.44383e+12,D,11
1.44383e+12,D,11
1.44384e+12,B,11
1.44384e+12,D,11
1.4445e+12,B,11
1.4445e+12,D,11
1.4445e+12,D,11
1.4445e+12,B,11
1.4453e+12,B,11
1.4453e+12,D,11
1.4458e+12,A,11
1.4458e+12,A,11
1.44581e+12,A,11
1.44631e+12,B,11
1.44632e+12,B,11
1.44799e+12,B,11
1.44799e+12,D,11
1.44799e+12,D,11
1.44237e+12,B,54
1.44495e+12,B,54
1.44495e+12,C,54
1.44495e+12,A,54
1.44495e+12,C,77
1.44495e+12,C,77
1.44495e+12,D,77
1.44495e+12,B,77
